product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria,Tag_1,Tag_2,Tag_3
Camisa cuadros bolsillos,https://www.pullandbear.com/es/camisa-cuadros-bolsillos-l07470533?cS=778&pelement=670030192,https://static.pullandbear.net/assets/public/0f1b/c24f/35c1434fb2cf/ae575ca46f82/07470533778-A1M/07470533778-A1M.jpg?ts=1732889663889&w=438&f=auto,https://static.pullandbear.net/assets/public/4e14/7172/1f67403fbdff/a73781b2401a/07470533778-M/07470533778-M.jpg?ts=1732889705039&w=438&f=auto,7.99,"Camisa de manga larga con diseño de cuadros, con bolsillos delanteros, cierre de botones y confeccionada en algodón.",7.99,9.99,29.99,7.99,Coñac,https://static.pullandbear.net/assets/public/9e28/b576/57ae4d26b931/ee3e95ffab7b/07470533778-C/07470533778-C.jpg?ts=1731518843810&w=106&f=auto,7470/533,07470533,1030204766,In stock,Marrón,Camisa,Clásico,Manga larga,Estampado
Polo manga corta,https://www.pullandbear.com/es/polo-manga-corta-l07554701?cS=807&pelement=627595152,https://static.pullandbear.net/assets/public/a717/452f/54cf4dec806c/d9faea067976/07554701807-A1M/07554701807-A1M.jpg?ts=1727341834796&w=438&f=auto,https://static.pullandbear.net/assets/public/9bef/ddcf/2b22494d89cb/01fb2ad7c5ae/07554701807-M/07554701807-M.jpg?ts=1727342111237&w=438&f=auto,9.99,"Polo de manga corta básico disponible en varios colores, con cierre de botones en el escote y confeccionado en mezcla de viscosa.",9.99,12.99,17.99,9.99,Gris antracita,https://static.pullandbear.net/assets/public/8f68/8e98/8c9f4fa6a48f/c0e130233a31/07554701807-C/07554701807-C.jpg?ts=1727103002990&w=106&f=auto,7554/701,07554701,1030204756,In stock,Gris,Polo,Casual,Manga corta,Color claro
Jeans carrot acabado lavado,https://www.pullandbear.com/es/jeans-carrot-acabado-lavado-l07685507?cS=833&pelement=662027250,https://static.pullandbear.net/assets/public/9d40/2e1a/37394d6d85a9/0a49868ecfeb/07685508833-M/07685508833-M.jpg?ts=1722951680936&w=438&f=auto,https://static.pullandbear.net/assets/public/860d/e071/56764c9d9ec2/fcc69a96ddb3/07685508833-A2M/07685508833-A2M.jpg?ts=1722951667679&w=438&f=auto,19.99,"Jeans carrot fit con acabado lavado, diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y en algodón ligeramente elástico.",,,,19.99,Negro delavado,https://static.pullandbear.net/assets/public/66f8/487b/8111418aa843/926a9114cbb2/07685502833-C/07685502833-C.jpg?ts=1721819492921&w=106&f=auto,7685/507,07685507,1030204730,In stock,Negro,Pantalón,Casual,Carrot,Slim
Jeans skinny rotos,https://www.pullandbear.com/es/jeans-skinny-rotos-l07684509?cS=407&pelement=621954058,https://static.pullandbear.net/assets/public/d930/c1e9/61bc412fb108/ace5f9900d0a/07684509407-M/07684509407-M.jpg?ts=1731665015118&w=438&f=auto,https://static.pullandbear.net/assets/public/2f4e/6839/da224619ae9a/7de443c9380a/07684509407-A2M/07684509407-A2M.jpg?ts=1731664956704&w=438&f=auto,12.99,"Jeans skinny fit con detalle de rotos, diseño de cinco bolsillos, cierre de botón y cremallera, cintura con trabillas y confeccionados en tejido elástico.",12.99,15.99,29.99,12.99,Azul oscuro,https://static.pullandbear.net/assets/public/0194/e10d/bf574bb6a003/6f0f8d46648d/07684509407-C/07684509407-C.jpg?ts=1731665818094&w=106&f=auto,7684/509,07684509,1030204729,In stock,Azul,Pantalón,Casual,Skinny,Rasgado
