Product Name,url,Image 1 URL,Image 2 URL,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,Categoria,color_homogeneizado,style_tags
Jeans loose fit,https://www.pullandbear.com/es/jeans-loose-fit-l07684503?cS=434&pelement=621942782,https://static.pullandbear.net/assets/public/5b47/2a26/7a964edfb431/a4132cbf018a/07684503434-M/07684503434-M.jpg?ts=1724078837676&w=438&f=auto,https://static.pullandbear.net/assets/public/7686/7a1e/714d499597b8/9e37bece5b3e/07684503434-A2M/07684503434-A2M.jpg?ts=1724062209747&w=438&f=auto,"Jeans loose fit con diseño de cinco bolsillos, cintura con trabillas y cierre de cremallera y botón, confeccionados en tejido de algodón.",19.99,29.99,,19.99,Indigo claro,https://static.pullandbear.net/assets/public/7801/d3c0/cb4a484188b6/647f76068276/07684503434-C/07684503434-C.jpg?ts=1723046223871&w=106&f=auto,7684/503,7684503.0,1030204729.0,In Stock,Pantalón,Azul claro,Moderno
Jeans baggy detalle rotos,https://www.pullandbear.com/es/jeans-baggy-detalle-rotos-l03684516?cS=427&pelement=621954133,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3684/516/427/3684516427_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1714377603003&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3684/516/427/3684516427_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1714377602999&w=438&f=auto,"Jeans baggy disponibles en varios tonos, con detalle de rotos en la pernera, diseño de cinco bolsillos, cintura con trabillas y cierre de botón y cremallera.",19.99,35.99,,19.99,Azul medio,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3684/516/427/3684516427_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1713799501842&w=106&f=auto,3684/516,3684516.0,1030204729.0,In Stock,Pantalón,Azul,Deportivo
Jeans standard,https://www.pullandbear.com/es/jeans-standard-l07685511?cS=401&pelement=638349761,https://static.pullandbear.net/assets/public/65fd/b52d/3da64b9eadbc/3e523c41c1b8/07685511401-M/07685511401-M.jpg?ts=1726657675647&w=438&f=auto,https://static.pullandbear.net/assets/public/c024/e8ab/c1924f9781f0/c4212ac980df/07685511401-A2M/07685511401-A2M.jpg?ts=1726657672672&w=438&f=auto,"Jeans standard con cintura con trabillas, cierre de botón y cremallera, y diseño de cinco bolsillos.",19.99,25.99,,19.99,Marino,https://static.pullandbear.net/assets/public/2b1c/cc15/c796428791dc/fd0d16a81a60/07685511401-C/07685511401-C.jpg?ts=1724151081275&w=106&f=auto,7685/511,7685511.0,1030204729.0,In Stock,Pantalón,Azul,Bohemio
Jeans carrot tejido premium,https://www.pullandbear.com/es/jeans-carrot-tejido-premium-l07684501?cS=401&pelement=621942898,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/401/7684501401_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1712570221784&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/401/7684501401_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1712570221778&w=438&f=auto,"Jeans carrot en tejido premium, con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",19.99,29.99,,19.99,Marino,https://static.pullandbear.net/assets/public/b1ed/3ab4/ffac4858aab6/d0f31b08ccad/07684501401-C/07684501401-C.jpg?ts=1721639843657&w=106&f=auto,7684/501,7684501.0,1030204729.0,In Stock,Pantalón,Azul,Elegante
Jeans super baggy,https://www.pullandbear.com/es/jeans-super-baggy-l07684511?cS=427&pelement=621942841,https://static.pullandbear.net/assets/public/114e/5281/40ff4833a3be/370526e2bc71/07684511427-M/07684511427-M.jpg?ts=1723449175187&w=438&f=auto,https://static.pullandbear.net/assets/public/9920/0744/e7f4479da2da/7a14b3968a69/07684511427-A2M/07684511427-A2M.jpg?ts=1723449129431&w=438&f=auto,"Jeans super baggy con cintura con trabillas, diseño de cinco bolsillos y cierre de cremallera y botón.",19.99,35.99,,19.99,Azul medio,https://static.pullandbear.net/assets/public/5b5b/6403/aba647369cad/835ef8ab1745/07684511427-C/07684511427-C.jpg?ts=1724051519920&w=106&f=auto,7684/511,7684511.0,1030204729.0,In Stock,Pantalón,Azul,Moderno
Jeans baggy rotos,https://www.pullandbear.com/es/jeans-baggy-rotos-l07684507?cS=833&pelement=621942509,https://static.pullandbear.net/assets/public/45b7/7f53/456348f59be1/f47ad63bed04/07684507833-M/07684507833-M.jpg?ts=1722855749357&w=438&f=auto,https://static.pullandbear.net/assets/public/c342/a09a/74f64275a9ec/42c3fc5f9270/07684507833-A2M/07684507833-A2M.jpg?ts=1722855746397&w=438&f=auto,"Jeans baggy disponibles en varios tonos, con detalle de rotos en la pernera, diseño de cinco bolsillos, cintura con trabillas y cierre de botón y cremallera.",19.99,35.99,,19.99,Negro delavado,https://static.pullandbear.net/assets/public/0d8a/ceb6/2ea54e4da60d/d868677aab2e/07684507833-C/07684507833-C.jpg?ts=1720793428853&w=106&f=auto,7684/507,7684507.0,1030204729.0,In Stock,Pantalón,Negro,Futurista
Jeans baggy detalle rotos,https://www.pullandbear.com/es/jeans-baggy-detalle-rotos-l03684516?cS=415&pelement=621954132,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3684/516/415/3684516415_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1714377602996&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3684/516/415/3684516415_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1714377602992&w=438&f=auto,"Jeans baggy disponibles en varios tonos, con detalle de rotos en la pernera, diseño de cinco bolsillos, cintura con trabillas y cierre de botón y cremallera.",19.99,35.99,,19.99,Azul flúor,https://static.pullandbear.net/2/photos//2024/V/0/2/p/3684/516/415/3684516415_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1713799501835&w=106&f=auto,3684/516,3684516.0,1030204729.0,In Stock,Pantalón,Azul claro,Rústico
Jeans baggy,https://www.pullandbear.com/es/jeans-baggy-l08686518?cS=427&pelement=621935134,https://static.pullandbear.net/assets/public/b735/bdce/b46549ccb4f8/82faf2967bd8/08686518427-M/08686518427-M.jpg?ts=1726228313711&w=438&f=auto,https://static.pullandbear.net/assets/public/8a41/f22e/b7464cbc8cde/013d0d68f1a7/08686518427-A2M/08686518427-A2M.jpg?ts=1726228302886&w=438&f=auto,"Jeans baggy fit con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y en tejido de 100% algodón.",19.99,29.99,,19.99,Azul medio,https://static.pullandbear.net/2/photos//2024/V/0/2/p/8686/518/427/8686518427_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1705484712283&w=106&f=auto,8686/518,8686518.0,1030204729.0,In Stock,Pantalón,Azul,Elegante
Jeans standard,https://www.pullandbear.com/es/jeans-standard-l03684511?cS=415&pelement=621942833,https://static.pullandbear.net/assets/public/b384/537b/993e48f08052/e9748423058d/07686509415-M/07686509415-M.jpg?ts=1724949457341&w=438&f=auto,https://static.pullandbear.net/assets/public/4014/77e8/1cc147c7a8f6/a6dbc01b649c/07686509415-A2M/07686509415-A2M.jpg?ts=1724949364819&w=438&f=auto,"Jeans standard fit con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",19.99,25.99,,19.99,Azul flúor,https://static.pullandbear.net/assets/public/38ef/0183/6c764841bf48/75415aea2cd1/07686509415-C/07686509415-C.jpg?ts=1724949371903&w=106&f=auto,3684/511,3684511.0,1030204729.0,In Stock,Pantalón,Azul claro,Futurista
Jeans loose fit,https://www.pullandbear.com/es/jeans-loose-fit-l07684503?cS=407&pelement=621942784,https://static.pullandbear.net/assets/public/39c4/31ad/d8de4bb6a042/12cf966d9f4b/07684503407-M/07684503407-M.jpg?ts=1724062222281&w=438&f=auto,https://static.pullandbear.net/assets/public/3503/c6ca/6e854adebd1b/438b451fb609/07684503407-A2M/07684503407-A2M.jpg?ts=1724062206941&w=438&f=auto,"Jeans loose fit con diseño de cinco bolsillos, cintura con trabillas y cierre de cremallera y botón, confeccionados en tejido de algodón.",19.99,29.99,,19.99,Azul oscuro,https://static.pullandbear.net/assets/public/4828/0c44/dae549fea322/1c5f05cc1b9c/07684503407-C/07684503407-C.jpg?ts=1723046214989&w=106&f=auto,7684/503,7684503.0,1030204729.0,In Stock,Pantalón,Azul,Moderno
Jeans loose flare,https://www.pullandbear.com/es/jeans-loose-flare-l07684532?cS=833&pelement=644456066,https://static.pullandbear.net/assets/public/c2b6/b2e5/90594711890d/20cae03c38e4/07684532833-M/07684532833-M.jpg?ts=1726657661943&w=438&f=auto,https://static.pullandbear.net/assets/public/6dcf/2e29/256d42558adc/86e72da73251/07684532833-A2M/07684532833-A2M.jpg?ts=1726657646966&w=438&f=auto,"Jeans loose flare con diseño de cinco bolsillos, cintura con trabillas, y cierre de cremallera y botón.",19.99,29.99,,19.99,Negro delavado,https://static.pullandbear.net/assets/public/fa13/de5d/f1fe433983bc/d72b3d97dab4/07684532833-C/07684532833-C.jpg?ts=1726232339640&w=106&f=auto,7684/532,7684532.0,1030204729.0,In Stock,Pantalón,Negro,Minimalista
Jeans carrot tejido premium,https://www.pullandbear.com/es/jeans-carrot-tejido-premium-l07684501?cS=427&pelement=621942900,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/427/7684501427_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1712570581998&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/427/7684501427_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1712570221787&w=438&f=auto,"Jeans carrot en tejido premium, con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",19.99,29.99,,19.99,Azul medio,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/427/7684501427_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1710762361895&w=106&f=auto,7684/501,7684501.0,1030204729.0,In Stock,Pantalón,Azul,Casual
Jeans skater,https://www.pullandbear.com/es/jeans-skater-l07685517?cS=426&pelement=621942481,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7685/517/426/7685517426_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718895781738&w=438&f=auto,https://static.pullandbear.net/assets/public/35a7/855a/2073485cb14b/eefa8300c372/07685517426-A2M/07685517426-A2M.jpg?ts=1718895846441&w=438&f=auto,"Jeans skater con diseño de cinco bolsillos, cintura con trabillas, cierre de cremallera y botón, con detalle de lavados y etiqueta en el bolsillo trasero, confeccionados en tejido de algodón.",19.99,29.99,,19.99,Azul agua,https://static.pullandbear.net/assets/public/25a8/94c8/6e8a4f2199be/7b205d9d0a90/07685517426-C/07685517426-C.jpg?ts=1718895849358&w=106&f=auto,7685/517,7685517.0,1030204729.0,In Stock,Pantalón,Azul,Minimalista
Jeans baggy jogger,https://www.pullandbear.com/es/jeans-baggy-jogger-l07685501?cS=833&pelement=621942028,https://static.pullandbear.net/assets/public/37c2/7291/f139457f857e/9aa6e92039c4/07685501833-M/07685501833-M.jpg?ts=1721869422655&w=438&f=auto,https://static.pullandbear.net/assets/public/a0aa/0d45/de984444aa80/456298f23f36/07685501833-A2M/07685501833-A2M.jpg?ts=1716801751747&w=438&f=auto,"Jeans jogger baggy con cintura elástica con cordón, bolsillos y confeccionado en tejido 100% algodón ligero.",15.99,19.99,,15.99,Negro delavado,https://static.pullandbear.net/assets/public/96a2/8c77/6991484fac08/5e889aa9b7b2/07685501833-C/07685501833-C.jpg?ts=1721869423692&w=106&f=auto,7685/501,7685501.0,1030204729.0,In Stock,Pantalón,Negro,Casual
Jeans carrot tejido premium,https://www.pullandbear.com/es/jeans-carrot-tejido-premium-l07684501?cS=833&pelement=621942899,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/833/7684501833_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1712585341856&w=438&f=auto,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7684/501/833/7684501833_2_2_0.jpg?imwidth=%3Awidth%3A&ts=1712585341851&w=438&f=auto,"Jeans carrot en tejido premium, con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",19.99,29.99,,19.99,Negro delavado,https://static.pullandbear.net/assets/public/2f12/9302/2bd64135ba07/ffa4ef7a6e77/07684501833-C/07684501833-C.jpg?ts=1721639848188&w=106&f=auto,7684/501,7684501.0,1030204729.0,In Stock,Pantalón,Negro,Clásico
Jeans baggy rotos,https://www.pullandbear.com/es/jeans-baggy-rotos-l07684507?cS=415&pelement=621942510,https://static.pullandbear.net/assets/public/cf24/4971/0dc444baadd7/4ceee556171f/07684507415-M/07684507415-M.jpg?ts=1722855734040&w=438&f=auto,https://static.pullandbear.net/assets/public/12a3/0a9a/9f9f468a887a/4d5c02b72df9/07684507415-A2M/07684507415-A2M.jpg?ts=1722855736872&w=438&f=auto,"Jeans baggy disponibles en varios tonos, con detalle de rotos en la pernera, diseño de cinco bolsillos, cintura con trabillas y cierre de botón y cremallera.",19.99,35.99,,19.99,Azul flúor,https://static.pullandbear.net/assets/public/1fdf/e483/e3304a8ea314/1dd59fa6dcbb/07684507415-C/07684507415-C.jpg?ts=1722243397219&w=106&f=auto,7684/507,7684507.0,1030204729.0,In Stock,Pantalón,Azul claro,Minimalista
Jeans carpenter super baggy STWD,https://www.pullandbear.com/es/jeans-carpenter-super-baggy-stwd-l07684530?cS=405&pelement=662406042,https://static.pullandbear.net/assets/public/2d3f/b0d0/50644291b392/ffec27ff91ba/07684530405-A1M/07684530405-A1M.jpg?ts=1731658018883&w=438&f=auto,https://static.pullandbear.net/assets/public/8f90/a90e/7f0e4624a45f/164292b81229/07684530405-M/07684530405-M.jpg?ts=1731657957654&w=438&f=auto,"Jeans carpenter super baggy y wide leg con diseño de cinco bolsillos, cierre de botón y cremallera y confeccionados en algodón.",19.99,35.99,,19.99,Indigo,https://static.pullandbear.net/assets/public/36f4/328a/0f9e4e928389/a04f58b9d5b0/07684530405-C/07684530405-C.jpg?ts=1730816257677&w=106&f=auto,7684/530,7684530.0,1030204729.0,In Stock,Pantalón,Azul claro,Casual
Jeans standard,https://www.pullandbear.com/es/jeans-standard-l07684538?cS=700&pelement=653832577,https://static.pullandbear.net/assets/public/053b/4ec6/749242cfbdb9/f0c3bc2b51e0/07684538700-M/07684538700-M.jpg?ts=1728291032337&w=438&f=auto,https://static.pullandbear.net/assets/public/9633/7461/0ea94d939dab/71c58e2b6587/07684538700-A2M/07684538700-A2M.jpg?ts=1728291025943&w=438&f=auto,"Jeans standard con cintura con trabillas, cierre de botón y cremallera, y diseño de cinco bolsillos.",19.99,25.99,,19.99,Marrón,https://static.pullandbear.net/assets/public/1dd4/d55c/7c7d4926aae9/787e6c874a93/07684538700-C/07684538700-C.jpg?ts=1727367390479&w=106&f=auto,7684/538,7684538.0,1030204729.0,In Stock,Pantalón,Marrón,Bohemio
