product_name,url,image1_url,image2_url,product_price,description,sale_price,old_price,original_price,current_price,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria,Fondo,Modelo,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6
Jeans carrot acabado lavado,https://www.pullandbear.com/es/jeans-carrot-acabado-lavado-l03685511?cS=415&pelement=621956613,https://static.pullandbear.net/assets/public/3329/c34c/8eca4d838e72/e9c6c52a6c14/07685507415-M/07685507415-M.jpg?ts=1722951685047&w=438&f=auto,https://static.pullandbear.net/assets/public/ec82/f96a/27d34b12af50/6258879b0617/07685507415-A2M/07685507415-A2M.jpg?ts=1722951631018&w=438&f=auto,12.99,"Jeans carrot fit con acabado lavado, diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y en algodón ligeramente elástico.",12.99,15.99,19.99,12.99,Azul flúor,https://static.pullandbear.net/assets/public/babd/92a9/66e3472c8c60/fa00878094ae/07685507415-C/07685507415-C.jpg?ts=1721829903393&w=106&f=auto,3685/511,03685511,1030204729,In stock,Azul claro,Pantalón,Blanco,Modelo,Casual,Streetwear,Ajustada,Manga larga,Carrot,Slim
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=800&pelement=662014775,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7678/502/800/7678502800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1718356993346&w=438&f=auto,https://static.pullandbear.net/assets/public/50b0/1495/d1304cefad4d/9d40bd1ddc5c/07678502800-A2M/07678502800-A2M.jpg?ts=1718357014278&w=438&f=auto,25.99,"Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.",,,,25.99,Negro,https://static.pullandbear.net/assets/public/0ea7/ee73/b44f43a19f0c/444a2b7e7774/07678502800-C/07678502800-C.jpg?ts=1718024914098&w=106&f=auto,7678/502,07678502,1030204719,In stock,Negro,Pantalón,Blanco,Modelo,Deportivo,Streetwear,Manga corta,Color oscuro,Joggers,Cargo
