Product Name,url,Image 1 URL,Image 2 URL,current_price_x,description,sale_price,old_price,original_price,current_price_y,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678502?cS=807&pelement=621942554,https://static.pullandbear.net/assets/public/6b20/5867/b12846459b85/fd11d43191c6/07678900807-M/07678900807-M.jpg?ts=1731060328035&w=438&f=auto,https://static.pullandbear.net/assets/public/01e0/3d28/78aa4106b421/d4d6ec8eed15/07678900807-A2M/07678900807-A2M.jpg?ts=1731060333754&w=438&f=auto,12.99,"Pantalón jogger cargo con cintura elástica con cordón, bolsillos y bajos elásticos.",12.99,15.99,25.99,12.99,Gris antracita,https://static.pullandbear.net/assets/public/0183/a04f/88d84fb8b383/61d22db41f6f/07678900807-C/07678900807-C.jpg?ts=1731060344678&w=106&f=auto,7678/502,7678502.0,1030204719.0,Out of Stock,Gris,Pantalón
Pantalón chándal STWD,https://www.pullandbear.com/es/pantalon-chandal-stwd-l07678506?cS=717&pelement=621947942,https://static.pullandbear.net/assets/public/0d56/35a5/fb6b4c0c9bfd/e56745cf7634/07678905717-M/07678905717-M.jpg?ts=1724661640458&w=438&f=auto,https://static.pullandbear.net/assets/public/9ecd/4059/b3be431d8da4/162c9d0489e7/07678905717-A2M/07678905717-A2M.jpg?ts=1724661628583&w=438&f=auto,12.99,"Pantalón jogger chándal STWD con cintura elástica con cordón, bolsillos y en tejido fleece.",12.99,15.99,19.99,12.99,Chocolate,https://static.pullandbear.net/assets/public/a856/f0e2/54074d8aa9b3/e94b3a40681e/07678905717-C/07678905717-C.jpg?ts=1722863508869&w=106&f=auto,7678/506,7678506.0,1030204719.0,Out of Stock,Marrón,Pantalón
Pantalón tailoring P&B Black Label,https://www.pullandbear.com/es/pantalon-tailoring-pb-black-label-l07678517?cS=800&pelement=627100423,https://static.pullandbear.net/assets/public/1949/ebef/c0f844d38aaa/847de30f5b11/07678517800-M/07678517800-M.jpg?ts=1731944186226&w=438&f=auto,https://static.pullandbear.net/assets/public/0975/ddb4/774440cfae92/7bc6d4b25a2a/07678517800-A2M/07678517800-A2M.jpg?ts=1731944170086&w=438&f=auto,12.99,"Pantalón de vestir tailoring con cintura con trabillas, bolsillos, y cierre de botón y cremallera.  Colección P&amp;B Black Label",12.99,15.99,39.99,12.99,Negro,https://static.pullandbear.net/assets/public/0e57/a70e/6655478080e2/b8a70f7a0e67/07678517800-C/07678517800-C.jpg?ts=1732535606410&w=106&f=auto,7678/517,7678517.0,1030204719.0,Out of Stock,Negro,Pantalón
Pantalón jogger técnico,https://www.pullandbear.com/es/pantalon-jogger-tecnico-l07679511?cS=800&pelement=664991651,https://static.pullandbear.net/assets/public/3515/b477/89ba48019c4d/88e99a8cda45/07679511800-M/07679511800-M.jpg?ts=1732118031358&w=438&f=auto,https://static.pullandbear.net/assets/public/3850/494e/5871420697df/12b55977adab/07679511800-A2M/07679511800-A2M.jpg?ts=1732117950374&w=438&f=auto,12.99,Pantalón jogger técnico con cintura elástica con correa ajustable y bolsillos.,12.99,15.99,39.99,12.99,Negro,https://static.pullandbear.net/assets/public/c4e4/c2a2/ff3d429eb026/e3be78a41ce9/07679511800-C/07679511800-C.jpg?ts=1726064039969&w=106&f=auto,7679/511,7679511.0,1030574254.0,Out of Stock,Negro,Pantalón
Pantalón baggy acabado lavado,https://www.pullandbear.com/es/pantalon-baggy-acabado-lavado-l03680501?cS=681&pelement=662960548,https://static.pullandbear.net/assets/public/a21d/315d/cc754cd2b221/b92621dd7be8/03680501681-M/03680501681-M.jpg?ts=1731324375575&w=438&f=auto,https://static.pullandbear.net/assets/public/3914/8a09/70ea47cda29f/e4640d3bde97/03680501681-A2M/03680501681-A2M.jpg?ts=1731324390785&w=438&f=auto,12.99,"Pantalón baggy con acabado lavado, con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",12.99,15.99,29.99,12.99,Burgundy,https://static.pullandbear.net/assets/public/56aa/75e5/09ff4627977b/798be81afcf1/03680501681-C/03680501681-C.jpg?ts=1730816151699&w=106&f=auto,3680/501,3680501.0,1030574254.0,Out of Stock,Rojo,Pantalón
Pantalón chándal wide leg,https://www.pullandbear.com/es/pantalon-chandal-wide-leg-l07678500?cS=803&pelement=652056610,https://static.pullandbear.net/assets/public/ec19/38f1/a79047619013/9819727d05bb/07678500803-M/07678500803-M.jpg?ts=1722507501506&w=438&f=auto,https://static.pullandbear.net/assets/public/830c/d5b8/1fb64f2c97e2/31474cd92f3e/07678500803-A2M/07678500803-A2M.jpg?ts=1722507505600&w=438&f=auto,12.99,"Pantalón jogger chándal con fit wide leg, bolsillos y cintura elástica.",12.99,15.99,19.99,12.99,Gris vigoré,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7678/901/803/7678901803_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1711367641589&w=106&f=auto,7678/500,7678500.0,1030574254.0,Out of Stock,Gris,Pantalón
Pantalón jogger STWD contraste,https://www.pullandbear.com/es/pantalon-jogger-stwd-contraste-l07679507?cS=400&pelement=647919073,https://static.pullandbear.net/assets/public/a4b2/a1f2/7f534d18b4a9/972f8a04bf5b/0767950740003-M/0767950740003-M.jpg?ts=1724833749222&w=438&f=auto,https://static.pullandbear.net/assets/public/6b95/9f7b/42e940939e90/1ad6d2fc163d/0767950740003-A7M/0767950740003-A7M.jpg?ts=1724833746074&w=438&f=auto,12.99,"Pantalón jogger chándal disponible en varios tonos, con detalle de franjas en contraste, logo STWD, bolsillos laterales y cintura elástica.",12.99,15.99,25.99,12.99,Azul,https://static.pullandbear.net/assets/public/8408/9641/444c4b1b869a/139e8662893b/07679507400-C/07679507400-C.jpg?ts=1720107622484&w=106&f=auto,7679/507,7679507.0,1030574254.0,Out of Stock,Azul,Pantalón
Pantalón wide leg nervio,https://www.pullandbear.com/es/pantalon-wide-leg-nervio-l07677508?cS=807&pelement=631396565,https://static.pullandbear.net/assets/public/0ff7/be06/ef3849bc9f88/e35a19c56e53/07678512807-M/07678512807-M.jpg?ts=1726501172519&w=438&f=auto,https://static.pullandbear.net/assets/public/776e/6231/73b3441fbca5/0eb201e860bc/07678512807-A2M/07678512807-A2M.jpg?ts=1726501151960&w=438&f=auto,9.99,"Pantalón jogger chándal con fit wide leg, detalle de nervio en la pernera, con bolsillos, cintura elástica y confeccionado en algodón.",9.99,12.99,17.99,9.99,Gris antracita,https://static.pullandbear.net/2/photos//2024/V/0/2/p/7677/508/807/7677508807_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1710238427555&w=106&f=auto,7677/508,7677508.0,1030204719.0,Out of Stock,Gris,Pantalón
Pantalón chándal STWD,https://www.pullandbear.com/es/pantalon-chandal-stwd-l07678506?cS=711&pelement=621947939,https://static.pullandbear.net/assets/public/4976/b344/ada64c64a7b8/7b8e8c40dff8/07678506711-M/07678506711-M.jpg?ts=1724661480603&w=438&f=auto,https://static.pullandbear.net/assets/public/f51c/f887/278b46a1ba83/2fdd19a0b10a/07678506711-A2M/07678506711-A2M.jpg?ts=1724661474034&w=438&f=auto,12.99,"Pantalón jogger chándal STWD con cintura elástica con cordón, bolsillos y en tejido fleece.",12.99,15.99,19.99,12.99,Arena,https://static.pullandbear.net/assets/public/8dfb/3643/665e49fe94de/3b934304202e/07678506711-C/07678506711-C.jpg?ts=1721661492646&w=106&f=auto,7678/506,7678506.0,1030204719.0,Out of Stock,Marrón claro,Pantalón
Pantalón chándal técnico,https://www.pullandbear.com/es/pantalon-chandal-tecnico-l07678508?cS=800&pelement=621942536,https://static.pullandbear.net/assets/public/166c/c4dc/a6644cf98a73/0f69f4bccd14/07678508800-M/07678508800-M.jpg?ts=1722865825541&w=438&f=auto,https://static.pullandbear.net/assets/public/e1f1/c583/dbc547d6ad84/bb6c5a88812a/07678508800-A2M/07678508800-A2M.jpg?ts=1722865793793&w=438&f=auto,12.99,"Pantalón jogger tipo chándal técnico en tejido elástico, con bolsillos laterales con cremallera, cintura elástica con cordón y disponible en varios colores.",12.99,15.99,22.99,12.99,Negro,https://static.pullandbear.net/assets/public/3cb3/577f/f20a40a8adac/b19d5d44caf5/07678508800-C/07678508800-C.jpg?ts=1718295756577&w=106&f=auto,7678/508,7678508.0,1030204719.0,Out of Stock,Negro,Pantalón
