Product Name,url,Image 1 URL,Image 2 URL,current_price
Pantalón chándal técnico,https://www.pullandbear.com/es/pantalon-chandal-tecnico-l07678508?cS=803&pelement=621942537,https://static.pullandbear.net/assets/public/437a/7279/485040728d2a/219dcb408bea/07678508803-M/07678508803-M.jpg?ts=1722865838955&w=438&f=auto,https://static.pullandbear.net/assets/public/e3d5/4e6e/c40d4784907e/cf33e8ed9069/07678508803-A2M/07678508803-A2M.jpg?ts=1722865835652&w=438&f=auto,12.99
Pantalón jogger cargo hojas,https://www.pullandbear.com/es/pantalon-jogger-cargo-hojas-l07678523?cS=505&pelement=627106268,https://static.pullandbear.net/assets/public/5d58/8b65/736641198dbe/d7dfbf329f40/07678523505-A19M/07678523505-A19M.jpg?ts=1724686505290&w=438&f=auto,https://static.pullandbear.net/assets/public/762d/bc6e/3f4a42fc93b1/7da0860e28a4/07678523505-A2M/07678523505-A2M.jpg?ts=1724661596075&w=438&f=auto,12.99
Pack chándal sudadera jogger,https://www.pullandbear.com/es/pack-chandal-sudadera-jogger-l07590908?cS=800&pelement=667124760,https://static.pullandbear.net/assets/public/b968/6fb1/09974b60b78a/182eefa6c19f/07590909800-A7M/07590909800-A7M.jpg?ts=1726492090696&w=438&f=auto,https://static.pullandbear.net/assets/public/2553/b882/e5cd4878b709/66d13d187d41/07590909800-M/07590909800-M.jpg?ts=1726482976413&w=438&f=auto,36.99
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678514?cS=807&pelement=627100466,https://static.pullandbear.net/assets/public/f603/90d1/12fe44bfab86/f82821cf8011/07678514807-M/07678514807-M.jpg?ts=1727341910547&w=438&f=auto,https://static.pullandbear.net/assets/public/13e7/289e/d892413396f8/edec7d235e85/07678514807-A2M/07678514807-A2M.jpg?ts=1727342050299&w=438&f=auto,12.99
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678514?cS=805&pelement=627100465,https://static.pullandbear.net/assets/public/4ff2/58fa/627e444d964f/f6330c3c9891/07678514805-M/07678514805-M.jpg?ts=1727342555304&w=438&f=auto,https://static.pullandbear.net/assets/public/b76d/89bc/b2e94ce3b7e5/4656bc0153a3/07678514805-A2M/07678514805-A2M.jpg?ts=1727342495236&w=438&f=auto,12.99
Pantalón chándal técnico,https://www.pullandbear.com/es/pantalon-chandal-tecnico-l07678508?cS=803&pelement=621942537,https://static.pullandbear.net/assets/public/437a/7279/485040728d2a/219dcb408bea/07678508803-M/07678508803-M.jpg?ts=1722865838955&w=438&f=auto,https://static.pullandbear.net/assets/public/e3d5/4e6e/c40d4784907e/cf33e8ed9069/07678508803-A2M/07678508803-A2M.jpg?ts=1722865835652&w=438&f=auto,12.99
Pantalón cargo pana,https://www.pullandbear.com/es/pantalon-cargo-pana-l07678529?cS=708&pelement=664036872,https://static.pullandbear.net/assets/public/f552/c7fc/86b04e40a5cb/9b6595ce17e4/07678529708-M/07678529708-M.jpg?ts=1731920079024&w=438&f=auto,https://static.pullandbear.net/assets/public/bbcb/b4dd/abcd41d4ae40/357b7386d714/07678529708-A2M/07678529708-A2M.jpg?ts=1731920074272&w=438&f=auto,12.99
Pantalón jogger cargo hojas,https://www.pullandbear.com/es/pantalon-jogger-cargo-hojas-l07678523?cS=505&pelement=677501178,https://static.pullandbear.net/assets/public/568c/9467/56dc4a2f8f6f/349fe2df7709/07678523505-M/07678523505-M.jpg?ts=1724661646792&w=438&f=auto,https://static.pullandbear.net/assets/public/762d/bc6e/3f4a42fc93b1/7da0860e28a4/07678523505-A2M/07678523505-A2M.jpg?ts=1724661596075&w=438&f=auto,12.99
Pantalón tailoring baggy,https://www.pullandbear.com/es/pantalon-tailoring-baggy-l07679505?cS=809&pelement=664991203,https://static.pullandbear.net/assets/public/0434/dd77/ca464cedaec6/e29985b2b401/07679505809-M/07679505809-M.jpg?ts=1731432638349&w=438&f=auto,https://static.pullandbear.net/assets/public/1f1e/8cbc/fe904eff9ba8/1defd04e40e0/07679505809-A2M/07679505809-A2M.jpg?ts=1731432517255&w=438&f=auto,12.99
Pantalón cargo lavado,https://www.pullandbear.com/es/pantalon-cargo-lavado-l07678525?cS=802&pelement=662006280,https://static.pullandbear.net/assets/public/104d/71ac/19744008911a/0730d644dece/07678525802-M/07678525802-M.jpg?ts=1730136321453&w=438&f=auto,https://static.pullandbear.net/assets/public/1d62/4b2c/10814876ac4a/4ff701e381a2/07678525802-A2M/07678525802-A2M.jpg?ts=1730136324745&w=438&f=auto,12.99
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678514?cS=807&pelement=627100466,https://static.pullandbear.net/assets/public/f603/90d1/12fe44bfab86/f82821cf8011/07678514807-M/07678514807-M.jpg?ts=1727341910547&w=438&f=auto,https://static.pullandbear.net/assets/public/13e7/289e/d892413396f8/edec7d235e85/07678514807-A2M/07678514807-A2M.jpg?ts=1727342050299&w=438&f=auto,12.99
Pantalón jogger cargo,https://www.pullandbear.com/es/pantalon-jogger-cargo-l07678514?cS=805&pelement=627100465,https://static.pullandbear.net/assets/public/4ff2/58fa/627e444d964f/f6330c3c9891/07678514805-M/07678514805-M.jpg?ts=1727342555304&w=438&f=auto,https://static.pullandbear.net/assets/public/b76d/89bc/b2e94ce3b7e5/4656bc0153a3/07678514805-A2M/07678514805-A2M.jpg?ts=1727342495236&w=438&f=auto,12.99
Jeans carrot rotos,https://www.pullandbear.com/es/jeans-carrot-rotos-l07684510?cS=427&pelement=621953740,https://static.pullandbear.net/assets/public/2de6/b55f/efe042c79df5/ba905327fc46/07684510427-M/07684510427-M.jpg?ts=1723208182173&w=438&f=auto,https://static.pullandbear.net/assets/public/db5b/06fa/2a4a4268b2ea/737940e6f14e/07684510427-A2M/07684510427-A2M.jpg?ts=1723208189717&w=438&f=auto,12.99
Jeans standard,https://www.pullandbear.com/es/jeans-standard-l07684538?cS=700&pelement=653832577,https://static.pullandbear.net/assets/public/053b/4ec6/749242cfbdb9/f0c3bc2b51e0/07684538700-M/07684538700-M.jpg?ts=1728291032337&w=438&f=auto,https://static.pullandbear.net/assets/public/9633/7461/0ea94d939dab/71c58e2b6587/07684538700-A2M/07684538700-A2M.jpg?ts=1728291025943&w=438&f=auto,12.99
Jeans baggy rotos,https://www.pullandbear.com/es/jeans-baggy-rotos-l07684507?cS=415&pelement=621942510,https://static.pullandbear.net/assets/public/cf24/4971/0dc444baadd7/4ceee556171f/07684507415-M/07684507415-M.jpg?ts=1722855734040&w=438&f=auto,https://static.pullandbear.net/assets/public/12a3/0a9a/9f9f468a887a/4d5c02b72df9/07684507415-A2M/07684507415-A2M.jpg?ts=1722855736872&w=438&f=auto,12.99
Jeans carrot rotos,https://www.pullandbear.com/es/jeans-carrot-rotos-l07684510?cS=427&pelement=621953740,https://static.pullandbear.net/assets/public/2de6/b55f/efe042c79df5/ba905327fc46/07684510427-M/07684510427-M.jpg?ts=1723208182173&w=438&f=auto,https://static.pullandbear.net/assets/public/db5b/06fa/2a4a4268b2ea/737940e6f14e/07684510427-A2M/07684510427-A2M.jpg?ts=1723208189717&w=438&f=auto,12.99
Jeans standard,https://www.pullandbear.com/es/jeans-standard-l07684538?cS=700&pelement=653832577,https://static.pullandbear.net/assets/public/053b/4ec6/749242cfbdb9/f0c3bc2b51e0/07684538700-M/07684538700-M.jpg?ts=1728291032337&w=438&f=auto,https://static.pullandbear.net/assets/public/9633/7461/0ea94d939dab/71c58e2b6587/07684538700-A2M/07684538700-A2M.jpg?ts=1728291025943&w=438&f=auto,12.99
Jeans baggy loose,https://www.pullandbear.com/es/jeans-baggy-loose-l07685523?cS=833&pelement=677501345,https://static.pullandbear.net/assets/public/5f7b/b576/6d534875a68b/bcba6f868584/07685523833-M/07685523833-M.jpg?ts=1723208293205&w=438&f=auto,https://static.pullandbear.net/assets/public/e114/87ee/e7c041b888f7/73afc7b8c584/07685523833-A2M/07685523833-A2M.jpg?ts=1723208284824&w=438&f=auto,12.99
Jeans baggy rotos,https://www.pullandbear.com/es/jeans-baggy-rotos-l07684507?cS=434&pelement=677501243,https://static.pullandbear.net/assets/public/76c2/9ad3/199c4813ad54/3ac526c7b1c0/07684507434-M/07684507434-M.jpg?ts=1722855740510&w=438&f=auto,https://static.pullandbear.net/assets/public/9122/965d/2a29425ab8de/acab2bb7b97c/07684507434-A2M/07684507434-A2M.jpg?ts=1722855743194&w=438&f=auto,12.99
Jeans carpenter rotos,https://www.pullandbear.com/es/jeans-carpenter-rotos-l07684527?cS=427&pelement=660630423,https://static.pullandbear.net/assets/public/cc9c/702c/6fec473d8944/a6edb46f6edd/07684527427-M/07684527427-M.jpg?ts=1729238378117&w=438&f=auto,https://static.pullandbear.net/assets/public/e3ba/3111/3747456d825b/9f3dbd42994f/07684527427-A2M/07684527427-A2M.jpg?ts=1729238356672&w=438&f=auto,12.99
Jeans carpenter rotos,https://www.pullandbear.com/es/jeans-carpenter-rotos-l07684527?cS=833&pelement=660630422,https://static.pullandbear.net/assets/public/3944/141c/79144fe6ac3f/68bf5cb61cf6/07684527833-M/07684527833-M.jpg?ts=1729238397131&w=438&f=auto,https://static.pullandbear.net/assets/public/bef2/f42e/122240c8938c/ac3845f9bc15/07684527833-A2M/07684527833-A2M.jpg?ts=1729238374441&w=438&f=auto,12.99
Jeans baggy rotos,https://www.pullandbear.com/es/jeans-baggy-rotos-l07684507?cS=415&pelement=621942510,https://static.pullandbear.net/assets/public/cf24/4971/0dc444baadd7/4ceee556171f/07684507415-M/07684507415-M.jpg?ts=1722855734040&w=438&f=auto,https://static.pullandbear.net/assets/public/12a3/0a9a/9f9f468a887a/4d5c02b72df9/07684507415-A2M/07684507415-A2M.jpg?ts=1722855736872&w=438&f=auto,12.99
