Product Name,url,Image 1 URL,Image 2 URL,current_price_x,description,sale_price,old_price,original_price,current_price_y,color,image_url,mpn,reference_code,category_id,Stock Status,color_homogeneizado,Categoria
Jeans baggy,https://www.pullandbear.com/es/jeans-baggy-l07684528?cS=922&pelement=629642547,https://static.pullandbear.net/assets/public/6e10/7dd1/945740c08a0b/fa299410801e/07684528922-M/07684528922-M.jpg?ts=1724857222382&w=438&f=auto,https://static.pullandbear.net/assets/public/beb0/6f6f/8a5540798e01/466cdc3d1d61/07684528922-A2M/07684528922-A2M.jpg?ts=1725265555150&w=438&f=auto,12.99,"Jeans baggy disponibles en varios tonos, con logo, diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y en 100% algodón.",12.99,15.99,35.99,12.99,Gris oscuro,https://static.pullandbear.net/assets/public/32e3/19df/8d234ff394cc/db508f87193d/07684528922-C/07684528922-C.jpg?ts=1724253358014&w=106&f=auto,7684/528,7684528.0,1030204729.0,Out of Stock,Gris,Pantalón
Jeans cargo straight,https://www.pullandbear.com/es/jeans-cargo-straight-l07684508?cS=445&pelement=639017312,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7684/508/445/7684508445_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1720111099965&w=438&f=auto,https://static.pullandbear.net/assets/public/adb9/85e7/88504c0c84f8/85b4ad50271e/07684508445-A2M/07684508445-A2M.jpg?ts=1720426652629&w=438&f=auto,12.99,"Jeans cargo straight con diseño multibolsillos, con cierre de botón y cremallera y confeccionados en algodón.",12.99,15.99,29.99,12.99,Azul verdoso,https://static.pullandbear.net/assets/public/4117/064f/40e14fcfa1bf/b11a82e77dc5/07684508445-C/07684508445-C.jpg?ts=1717159807173&w=106&f=auto,7684/508,7684508.0,1030574254.0,Out of Stock,Azul,Pantalón
Jeans super baggy,https://www.pullandbear.com/es/jeans-super-baggy-l07684511?cS=434&pelement=621942838,https://static.pullandbear.net/assets/public/e8d1/48e8/c5fc4e878530/7f49fefadbc8/07684511434-M/07684511434-M.jpg?ts=1730912207288&w=438&f=auto,https://static.pullandbear.net/assets/public/1d4c/e133/16c7402681aa/e12ddf185625/07684511434-A2M/07684511434-A2M.jpg?ts=1730912276848&w=438&f=auto,12.99,"Jeans super baggy con cintura con trabillas, diseño de cinco bolsillos y cierre de cremallera y botón.",12.99,15.99,35.99,12.99,Indigo claro,https://static.pullandbear.net/assets/public/ca49/44c5/a179427eafb1/c346c0586685/07684511434-C/07684511434-C.jpg?ts=1730912223040&w=106&f=auto,7684/511,7684511.0,1030204729.0,Out of Stock,Azul claro,Pantalón
Jeans straight,https://www.pullandbear.com/es/jeans-straight-l07685522?cS=434&pelement=629315959,https://static.pullandbear.net/assets/public/4c86/f1a1/f7074c759223/17c874e9f913/07685522434-M/07685522434-M.jpg?ts=1723449055683&w=438&f=auto,https://static.pullandbear.net/assets/public/8f54/394e/b6cf478f9b08/1be80466781e/07685522434-A2M/07685522434-A2M.jpg?ts=1723449046921&w=438&f=auto,12.99,"Jeans straight con acabado efecto vintage, con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en 100% algodón.",12.99,15.99,25.99,12.99,Indigo claro,https://static.pullandbear.net/assets/public/19d0/7f8d/eb1f4d2daa1e/7145e86028b3/07685522434-C/07685522434-C.jpg?ts=1722957210188&w=106&f=auto,7685/522,7685522.0,1030204729.0,Out of Stock,Azul claro,Pantalón
Jeans baggy,https://www.pullandbear.com/es/jeans-baggy-l08686518?cS=427&pelement=621935134,https://static.pullandbear.net/assets/public/b735/bdce/b46549ccb4f8/82faf2967bd8/08686518427-M/08686518427-M.jpg?ts=1726228313711&w=438&f=auto,https://static.pullandbear.net/assets/public/8a41/f22e/b7464cbc8cde/013d0d68f1a7/08686518427-A2M/08686518427-A2M.jpg?ts=1726228302886&w=438&f=auto,12.99,"Jeans baggy fit con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y en tejido de 100% algodón.",12.99,15.99,29.99,12.99,Azul medio,https://static.pullandbear.net/2/photos//2024/V/0/2/p/8686/518/427/8686518427_1_1_0.jpg?imwidth=%3Awidth%3A&ts=1705484712283&w=106&f=auto,8686/518,8686518.0,1030204729.0,Out of Stock,Azul,Pantalón
Jeans baggy,https://www.pullandbear.com/es/jeans-baggy-l03685514?cS=922&pelement=621942502,https://static.pullandbear.net/assets/public/3c8b/219d/64cf4fe4a00b/99e6a3bfa79e/03685514922-M/03685514922-M.jpg?ts=1722951613319&w=438&f=auto,https://static.pullandbear.net/assets/public/076e/e031/e79947d8b7a9/8d59f5c1e32a/03685514922-A2M/03685514922-A2M.jpg?ts=1722951608011&w=438&f=auto,12.99,"Jeans baggy disponibles en varios tonos, con logo, diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y en 100% algodón.",12.99,15.99,29.99,12.99,Gris oscuro,https://static.pullandbear.net/assets/public/cb8a/0695/104d49c2b419/7786839c0978/03685514922-C/03685514922-C.jpg?ts=1717157323795&w=106&f=auto,3685/514,3685514.0,1030204729.0,Out of Stock,Gris,Pantalón
Jeans cargo straight,https://www.pullandbear.com/es/jeans-cargo-straight-l07684508?cS=800&pelement=621935086,https://static.pullandbear.net/2/photos//2024/I/0/2/p/7684/508/800/7684508800_4_1_0.jpg?imwidth=%3Awidth%3A&ts=1720451258789&w=438&f=auto,https://static.pullandbear.net/assets/public/32d0/886c/44184a6dbcd1/aa9dde76c946/07684508800-A2M/07684508800-A2M.jpg?ts=1720111096748&w=438&f=auto,12.99,"Jeans cargo straight con diseño multibolsillos, con cierre de botón y cremallera y confeccionados en algodón.",12.99,15.99,29.99,12.99,Negro,https://static.pullandbear.net/assets/public/24fd/607f/e5184b0181f3/6c9659d13d06/07684508800-C/07684508800-C.jpg?ts=1718181397513&w=106&f=auto,7684/508,7684508.0,1030204729.0,Out of Stock,Negro,Pantalón
Jeans cargo super baggy,https://www.pullandbear.com/es/jeans-cargo-super-baggy-l03683501?cS=833&pelement=662961100,https://static.pullandbear.net/assets/public/5110/e9de/bec64e4f8ebe/41ed0a315940/03683501833-M/03683501833-M.jpg?ts=1731074401343&w=438&f=auto,https://static.pullandbear.net/assets/public/4198/ccb6/8d21450b9ad0/806ab1081226/03683501833-A2M/03683501833-A2M.jpg?ts=1731074376202&w=438&f=auto,12.99,"Jeans cargo super baggy con cintura con trabillas, bolsillos, y cierre de cremallera y botón.",12.99,15.99,35.99,12.99,Negro delavado,https://static.pullandbear.net/assets/public/d958/8599/1dee475eb56e/026f37fa00da/03683501833-C/03683501833-C.jpg?ts=1730821396547&w=106&f=auto,3683/501,3683501.0,1030574254.0,Out of Stock,Negro,Pantalón
Jeans super baggy,https://www.pullandbear.com/es/jeans-super-baggy-l07684524?cS=400&pelement=667078830,https://static.pullandbear.net/assets/public/f504/e540/42154e29acd7/2e4a42f1deca/07684524400-M/07684524400-M.jpg?ts=1723449013742&w=438&f=auto,https://static.pullandbear.net/assets/public/4076/b30d/16b84cd29985/ee1a55fa8d5a/07684524400-A2M/07684524400-A2M.jpg?ts=1723449058722&w=438&f=auto,12.99,"Jeans super baggy con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",12.99,15.99,39.99,12.99,Azul,https://static.pullandbear.net/assets/public/e1b5/7948/971e4374a011/66e6e9db87ed/07684524400-C/07684524400-C.jpg?ts=1724689646360&w=106&f=auto,7684/524,7684524.0,1030574254.0,Out of Stock,Azul,Pantalón
Jeans cargo wide leg,https://www.pullandbear.com/es/jeans-cargo-wide-leg-l03683504?cS=427&pelement=674833478,https://static.pullandbear.net/assets/public/0309/6115/ae374b95a09f/f627f4c19bdf/03683504427-M/03683504427-M.jpg?ts=1732709911102&w=438&f=auto,https://static.pullandbear.net/assets/public/3438/feca/0b6845718362/9758cf040083/03683504427-A2M/03683504427-A2M.jpg?ts=1732709919342&w=438&f=auto,12.99,"Jeans cargo wide leg con bolsillos, cintura con trabillas, cierre de botón y cremallera y confeccionados en algodón.",12.99,15.99,29.99,12.99,Azul medio,https://static.pullandbear.net/assets/public/aaf3/487f/76244427baa3/06e798d75305/03683504427-C/03683504427-C.jpg?ts=1732621548804&w=106&f=auto,3683/504,3683504.0,1030204730.0,Out of Stock,Azul,Pantalón
